tax_id	species	genus	family	order	class	phylum	superkingdom	barcode06	barcode13	barcode15	barcode19	barcode20	barcode16	barcode25	barcode17	barcode03	barcode01	barcode02	barcode04	barcode07	barcode14	barcode05	barcode18	barcode26	barcode28	barcode30	barcode27	barcode31	barcode29	barcode37	barcode38	barcode39	barcode40	barcode41	barcode46	barcode42	barcode49	barcode43	barcode51	barcode50	barcode55	barcode53	barcode54	barcode61	barcode62	barcode64	barcode63	barcode67	barcode52	barcode72	barcode73	barcode65	barcode74	barcode75	barcode66	barcode76	barcode79	barcode84	barcode77	barcode85	barcode87	barcode78	barcode90	barcode86	barcode91	barcode89	barcode88
650280	Gregarina tropica	Gregarina	Gregarinidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota						30.70047709528043					21.253299437767343	157.40195729970952										183.20239071239496		36.73398282907922					38.26439317027949	29.821214128839983																		351.438650158095	157.06127506400088				12.943364808426916	67.91771549646651	208.66476490049772					
650283	Hoplorhynchus acanthatholius	Hoplorhynchus	Actinocephalidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota												69.86831745313928																																																
650331	Stylocephalus giganteus	Stylocephalus	Stylocephalidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota											247.60058093024983			26.65279145236637				105.022013851817																		23.52640855998803	26.99499003692504			197.9100386718008																				
650333	Xiphocephalus ellisi	Xiphocephalus	Stylocephalidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota											296.6024795450813			298.3939564393393				323.03884995950017								55.49657151900314			70.50254957012841				152.27901542662343			2669.843599155742	675.707925732594			274.4867519867775													98.8289671870809				327.8943923111628			
650334	Xiphocephalus triplogemmatus	Xiphocephalus	Stylocephalidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota											64.94464826809904			23.99639295099339				34.50295358210533								17.175651132354854							13.043058208631043			134.2546826948268	65.41394335564011			26.356850912898132																	77.90843813672602			
651447	fungal sp. FCAS9						Eukaryota																12.686813864953074																							29.138927864716774						11.549967058847356															
651455	Colepismatophila watsonae	Colepismatophila	Stylocephalidae	Eugregarinorida	Conoidasida	Apicomplexa	Eukaryota																																																									43.63370485542015			
652236	Sordariomycetes sp. DC345				Sordariomycetes	Ascomycota	Eukaryota																																			11.892326176198662																									
652252	Dothideomycetes sp. 11047				Dothideomycetes	Ascomycota	Eukaryota																																	19.151213033800826																											
652421	Dothideomycetes sp. 11369				Dothideomycetes	Ascomycota	Eukaryota								13.85569103481702																																																				
652423	Dothideomycetes sp. 11373				Dothideomycetes	Ascomycota	Eukaryota											16.122727754200394			55.56851031890781																							147.45528222435345		11.049457333018877	27.41794526811769																				
652425	Dothideomycetes sp. 11376				Dothideomycetes	Ascomycota	Eukaryota																																				28.038174930475847																								
652429	Dothideomycetes sp. 11387				Dothideomycetes	Ascomycota	Eukaryota																																					24.2407543805324																							
653446	Blastomyces dermatitidis	Blastomyces	Ajellomycetaceae	Onygenales	Eurotiomycetes	Ascomycota	Eukaryota																										14.242884774769925																																		
653524	Mucoraceae sp. N5		Mucoraceae	Mucorales	Mucoromycetes	Mucoromycota	Eukaryota																		17.387237007515704								24.379669867690257			40.24401205378484																															
654895	uncultured Nitzschia	Nitzschia	Bacillariaceae	Bacillariales	Bacillariophyceae	Bacillariophyta	Eukaryota												11.682440450005414										14.191117627906388																										30.086883907597567							17.43699143730662					
658240	Paraphaeosphaeria sp. B19	Paraphaeosphaeria	Didymosphaeriaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota																									16.805776177034463																																			
659677	uncultured Sporobolomyces					Basidiomycota	Eukaryota				52.52482279079675											87.24683147886537		141.27376173193505																			414.0509976669697		56.02290792394013						247.7098603984878															12.0220166145845	
663202	Trichophyton verrucosum	Trichophyton	Arthrodermataceae	Onygenales	Eurotiomycetes	Ascomycota	Eukaryota																																														29.03901325728175														
663331	Trichophyton benhamiae	Trichophyton	Arthrodermataceae	Onygenales	Eurotiomycetes	Ascomycota	Eukaryota																																														30.202470357095432														
66468	Heterocapsa triquetra	Heterocapsa	Heterocapsaceae	Peridiniales	Dinophyceae		Eukaryota																																				23.687465864978																					27.09622004419381			
66471	Lepidodinium viride	Lepidodinium	Gymnodiniaceae	Gymnodiniales	Dinophyceae		Eukaryota																																								19.14775968868874																				
665912	Bipolaris sorokiniana	Bipolaris	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota								30.5318259192634										16.821087245726847																						77.1737144680879				45.56038602005341													25.40592390915933			
66656	Durio zibethinus	Durio	Malvaceae	Malvales	Magnoliopsida	Streptophyta	Eukaryota																																																27.34339771744905	16.54221332424589						13.44743674354661					
667018	Paraphaeosphaeria sp. EF20	Paraphaeosphaeria	Didymosphaeriaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota																																					11.391423091603276																							
669091	Ascomycota sp. CH014					Ascomycota	Eukaryota						14.43141412421552		33.15557231873603																							19.842326334198027		16.78272555015907			31.270920852261508						10.007136536912611		28.23642604855402													14.917251045232218			
671987	Exserohilum turcicum	Exserohilum	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota	Eukaryota																																																									14.708002526813678			
676949	Pleurobranchus hilli	Pleurobranchus	Pleurobranchidae	Pleurobranchida	Gastropoda	Mollusca	Eukaryota												52.64272172329072										53.854730498907415		10.324242239824802					15.294321697607746																			117.74809197560552	52.37814369359096					22.36809120418152	71.36382382408695					
676950	Pleurobranchus membranaceus	Pleurobranchus	Pleurobranchidae	Pleurobranchida	Gastropoda	Mollusca	Eukaryota						28.392196087804653					15.577095490824858	86.64982102217502										91.9880849110332		27.777637622978244					17.352022432511443	22.277840948278623											2.312499999923614							193.50741305032224	90.35631532783948					49.795205194690254	121.15904747421554					
679545	Orpinomyces sp. AF-CTS-ACO1	Orpinomyces	Neocallimastigaceae	Neocallimastigales	Neocallimastigomycetes	Chytridiomycota	Eukaryota	31.25221907987464							45.21525658069215											36.20992811778989																										115.23017263623294		80.17996232786912					15.174584266109225							17.943344458292046	16.15617196470766
