tax_id	species	genus	family	order	class	phylum	superkingdom
9071				Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
91		Olsenella	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
9171		Sellimonas	Lachnospiraceae	Lachnospirales	Clostridia	Firmicutes	Bacteria
9341	splanchnicus;	Odoribacter	Marinifilaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
945		Exiguobacterium	Exiguobacteraceae	Exiguobacterales	Bacilli	Firmicutes	Bacteria
9517		Skermanella	Azospirillaceae	Azospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
9519		Parasutterella	Sutterellaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria
955	helveticus;	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
9557		Breznakia	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
9574			Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
961		Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria
9661		UCG-002	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria
9668			Christensenellaceae	Christensenellales	Clostridia	Firmicutes	Bacteria
9678		Catenibacterium	Erysipelatoclostridiaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria
9765		Enterorhabdus	Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria
9868		Prevotellaceae NK3B31 group	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
9950	intestinale;	Muribaculum	Muribaculaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria
mapped_unclassified							
unmapped							
